,occupation_level,education_num,familiarity_FB,view_FB,interested_insurance,created_account,age_by_decade_20s,age_by_decade_30s,age_by_decade_40s,age_by_decade_50s,age_by_decade_60s,age_by_decade_70s,age_by_decade_80s,teens,postcode_encoded,marital_status_divorced,marital_status_married-civ-spouse,marital_status_married-spouse-absent,marital_status_never-married,marital_status_separated,marital_status_widowed,education_encoded,job_title_encoded
0,1,17,7,9,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9758,0.0,0.0,0.0,1.0,0.0,0.0,10.0,277
1,4,17,9,6,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22597,0.0,1.0,0.0,0.0,0.0,0.0,10.0,16
2,12,12,5,4,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18411,1.0,0.0,0.0,0.0,0.0,0.0,8.0,47
3,1,9,9,2,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5862,0.0,1.0,0.0,0.0,0.0,0.0,6.0,250
4,12,17,8,9,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26281,0.0,1.0,0.0,0.0,0.0,0.0,10.0,340
5,7,18,7,5,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21211,0.0,1.0,0.0,0.0,0.0,0.0,11.0,77
6,1,6,1,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15290,0.0,0.0,1.0,0.0,0.0,0.0,4.0,140
7,13,12,9,7,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30749,0.0,1.0,0.0,0.0,0.0,0.0,8.0,53
8,12,18,6,3,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29947,0.0,0.0,0.0,1.0,0.0,0.0,11.0,344
9,4,17,5,3,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25434,0.0,1.0,0.0,0.0,0.0,0.0,10.0,178
