,salary_in_gbp
0,18109.0
1,16945.0
2,37953.24
3,19087.0
4,32898.0
5,24359.92
6,16397.760000000002
7,37407.0
8,39753.36
9,16785.0
10,47733.0
11,21732.0
12,25994.0
13,20141.64
14,29649.0
15,20568.0
16,18039.0
17,59865.52
18,26454.0
19,86190.0
20,40634.28
21,28805.04
22,15572.0
23,87702.25
24,18106.079999999998
25,27550.44
26,19817.04
27,19211.92
28,31262.5
29,21591.0
30,17088.24
31,17481.12
32,19516.64
33,23713.0
34,28344.0
35,35881.5
36,29563.08
37,22185.0
38,31863.96
39,18339.0
40,20568.0
41,16186.0
42,16657.5
43,67906.8
44,28987.0
45,20838.0
46,23806.64
47,19104.84
48,21180.5
49,16053.0
50,23262.5
51,26167.800000000003
52,25735.0
53,24190.0
54,21768.0
55,28526.68
56,18901.5
57,19659.64
58,63835.0
59,67471.0
60,18742.5
61,18280.0
62,25079.0
63,16356.080000000002
64,19711.12
65,15403.5
66,23908.0
67,25792.08
68,19565.0
69,13040.0
70,23253.0
71,18020.0
72,16766.88
73,19380.96
74,17071.0
75,35234.0
76,15597.72
77,22092.0
78,18125.0
79,66516.84
80,27326.0
81,17833.0
82,18873.399999999998
83,41333.0
84,20584.0
85,18099.0
86,20897.24
87,43736.399999999994
88,30513.0
89,25849.72
90,16555.0
91,24546.600000000002
92,21926.0
93,29505.48
94,32962.5
95,19748.88
96,40213.16
97,28267.68
98,43947.0
99,18593.0
100,19998.68
101,22900.0
102,22915.88
103,21750.0
104,24894.0
105,0.0
106,19686.16
107,24126.0
108,14571.0
109,18776.0
110,24007.0
111,18499.0
112,17035.5
113,50721.84
114,20637.0
115,29677.96
116,21913.0
117,20893.0
118,47552.0
119,27749.52
120,18625.88
121,20447.0
122,19151.0
123,36510.0
124,35885.0
125,44097.0
126,29982.840000000004
127,15927.599999999999
128,21098.16
129,27780.840000000004
130,20521.0
131,25774.0
132,75589.0
133,18994.0
134,17983.0
135,20726.0
136,38268.0
137,21124.0
138,24912.840000000004
139,21267.0
140,17428.0
141,17892.0
142,25374.0
143,87702.25
144,23359.96
145,18060.0
146,19068.0
147,24983.5
148,29829.239999999998
149,48255.5
150,18083.52
151,37136.0
152,87702.25
153,16072.5
154,24296.0
155,67906.8
156,18617.0
157,14963.5
158,18892.0
159,24469.0
160,19127.68
161,31978.92
162,33270.0
163,14481.0
164,37226.0
165,13686.0
166,16124.0
167,24324.0
168,18768.88
169,28266.5
170,20743.5
171,41936.44
172,27094.0
173,18400.72
174,51487.0
175,24298.559999999998
176,87702.25
177,24454.0
178,18882.36
179,28049.32
180,19535.0
181,20017.0
182,24987.0
183,32027.5
184,25673.5
185,16642.0
186,16940.0
187,56657.0
188,40940.64
189,14904.0
190,52960.0
191,23921.0
192,87702.25
193,31864.0
194,47954.0
195,17267.0
196,17257.0
197,30245.5
198,39333.0
199,24513.5
200,13886.080000000002
201,19252.0
202,17547.0
203,18865.079999999998
204,26896.92
205,17764.76
206,16397.0
207,20193.0
208,19870.76
209,16071.84
210,32675.5
211,29647.0
212,17160.0
213,22634.0
214,21308.0
215,19688.0
216,19467.0
217,30946.32
218,18795.92
219,24359.92
220,32093.880000000005
221,23719.56
222,87702.25
223,20360.0
224,24402.0
225,36543.0
226,19784.52
227,22443.96
228,19535.760000000002
229,64269.92
230,13878.0
231,22762.48
232,31808.0
233,34427.88
234,48548.0
235,87702.25
236,30196.0
237,31636.0
238,23700.0
239,17860.5
240,16189.0
241,24179.0
242,31319.079999999998
243,17490.0
244,30923.5
245,60577.5
246,15615.0
247,21050.04
248,30008.0
249,16646.76
250,35687.0
251,23057.52
252,16432.0
253,20303.0
254,18229.0
255,21056.0
256,22147.0
257,23223.0
258,16257.8
259,17229.0
260,21003.72
261,14856.4
262,25758.120000000003
263,16121.0
264,51560.0
265,87702.25
266,18665.0
267,14687.0
268,20341.0
269,43353.0
270,37992.0
271,28708.0
272,23713.0
273,36230.04
274,21769.800000000003
275,48656.0
276,46108.5
277,22781.2
278,25126.0
279,22324.0
280,32208.8
281,24036.0
282,53801.520000000004
283,16874.0
284,17691.440000000002
285,26130.0
286,26425.44
287,16018.32
288,21168.0
289,32860.0
290,26568.0
291,24871.08
292,37770.0
293,24742.68
294,26755.5
295,20463.5
296,41362.0
297,20051.760000000002
298,51166.0
299,19637.0
300,23693.28
301,53954.5
302,19856.0
303,20263.0
304,24119.4
305,20098.0
306,17224.0
307,19220.5
308,28510.0
309,21999.48
310,45268.0
311,20274.8
312,32017.440000000002
313,25380.0
314,31851.5
315,21189.0
316,66649.44
317,72936.84
318,16060.0
319,14441.960000000001
320,31693.199999999997
321,20622.0
322,20349.5
323,17668.5
